storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,tmean_33,tmin_min,mcs_thld
1,20060727_0700,104302,"2675,474,538,384",2917.68,275.39,0.0,0.0,204.18,224.07,89012.0,"2655,449,619,355",2929.96,288.75,-0.6000000000000001,-0.315,200.48,225.71,87591.0,"2622,462,636,332",2929.11,286.24,-1.995,-0.6000000000000001,203.89,223.98,92982.0,"2620,428,632,319",2914.8,282.05,-1.02,0.0,207.79,224.57,101206.0,"2584,444,715,348",2904.32,285.75,-6.39,1.8599999999999999,206.64,226.81,58483.0,"2541,459,353,385",2748.37,272.59,-6.93,1.335,208.41,228.36,50869.0,"2506,438,374,359",2707.97,263.57,-8.22,0.6000000000000001,204.1,227.97,45745.0,"2438,408,343,239",2621.77,292.59,-8.024999999999999,0.99,205.03,222.5,53196.0,"2400,457,382,267",2593.25,319.83,-3.2700000000000005,2.355,205.87,222.64,82759.0,"2360,473,432,469",2561.63,265.09,-3.63,0.885,209.12,225.77,122116.0,"2202,630,583,629",2519.45,354.24,-11.625,0.03,201.35,225.86,127161.0,"2185,635,595,628",2491.33,373.49,-6.87,-3.21,200.14,225.92,95128.0,"2146,636,607,439",2466.58,449.5,-6.645,1.35,204.35,223.91,72035.0,"2122,643,605,274",2461.42,496.24,-11.129999999999999,2.31,207.75,223.56,67706.0,"2160,623,531,250",2425.12,488.74,-5.7299999999999995,-1.2000000000000002,206.95,225.47,59031.0,"2148,622,503,252",2391.54,480.0,-18.06,-1.6350000000000002,207.35,228.15,32516.0,"2112,560,292,215",2270.19,457.34,-4.53,-2.265,206.07,225.11,33028.0,"2082,544,303,215",2255.98,450.58,-0.39,-0.675,211.58,226.31,31867.0,"2053,549,290,230",2237.85,444.61,-12.315000000000001,-1.17,215.66,229.16,25459.0,"2106,533,211,209",2218.55,419.99,-10.425,-1.995,218.51,232.07,15121.0,"2099,502,167,190",2194.1,393.43,-7.875,-4.3950000000000005,222.74,233.34,8057.0,"2088,431,138,101",2164.98,374.47,-12.36,0.585,228.0,234.92,1507.0,"2123,423,54,58",2150.29,396.2,-13.830000000000002,0.615,229.93,237.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.14,22
2,20060727_0700,2332,"3222,358,71,64",3257.94,324.3,0.0,0.0,209.34,226.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.34,1
4,20060727_0700,5875,"16,516,109,102",73.72,457.13,0.0,0.0,219.91,231.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.91,1
5,20060727_0700,17070,"0,715,142,243",50.34,609.24,0.0,0.0,204.07,220.5,20256.0,"0,720,122,298",48.59,583.71,-2.34,0.39,200.97,221.84,32311.0,"0,830,160,387",61.08,652.43,-4.47,3.915,200.01,216.75,38050.0,"0,881,255,447",68.1,675.28,-5.07,-1.065,203.14,218.68,45365.0,"0,881,210,460",73.03,667.61,-5.6850000000000005,8.655,202.18,220.28,44417.0,"0,880,205,437",72.36,665.54,-13.725000000000001,-1.155,201.56,221.23,37675.0,"0,853,223,424",71.85,662.46,-5.025,-0.915,201.81,222.71,40782.0,"0,844,233,396",85.61,672.75,-11.024999999999999,-3.57,204.55,224.21,42588.0,"0,875,205,425",85.38,676.28,-13.815000000000001,-2.1149999999999998,202.54,224.55,39348.0,"0,883,188,470",82.35,693.8,-12.48,-2.745,203.18,223.47,45231.0,"0,885,197,402",85.46,683.71,-9.915000000000001,-2.6550000000000002,201.44,223.45,43523.0,"0,891,177,414",75.58,678.26,-9.075,-6.540000000000001,201.26,224.37,29114.0,"0,768,188,267",70.95,630.69,-1.7399999999999998,-2.46,206.36,224.61,19316.0,"0,703,136,216",62.57,594.7,-4.545,2.7,207.97,223.57,19480.0,"0,741,156,276",60.36,604.64,-2.82,-5.175000000000001,210.04,228.04,12353.0,"0,727,136,242",57.86,601.77,-4.26,-2.19,217.01,232.4,1491.0,"0,579,63,92",24.44,537.46,-0.015,0.06,225.92,235.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.01,16
7,20060727_0700,5672,"323,667,93,146",366.59,602.13,0.0,0.0,223.26,234.73,3285.0,"307,663,54,124",332.47,592.72,-18.195,11.535,212.6,230.9,2529.0,"287,613,52,91",313.26,572.92,-18.9,0.8400000000000001,210.96,227.26,2281.0,"266,588,64,50",299.86,565.1,-16.62,-11.445,218.97,230.84,852.0,"256,575,38,37",274.73,557.64,-19.56,-9.03,230.29,236.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.96,4
10,20060727_0700,63045,"19,1010,349,359",201.62,813.16,0.0,0.0,202.29,222.71,54879.0,"32,974,296,381",190.97,801.37,-4.995,0.46499999999999997,198.75,227.08,30123.0,"44,953,355,340",220.31,780.13,-13.905,-6.8100000000000005,207.26,228.9,13224.0,"213,790,170,160",304.01,722.53,-16.02,-0.135,210.17,228.89,11730.0,"192,796,175,158",287.45,722.62,-6.720000000000001,-2.205,213.26,229.54,11280.0,"207,783,144,141",273.68,715.76,-1.3800000000000001,0.045,211.96,229.65,7349.0,"219,779,114,155",272.95,700.01,-13.575000000000001,-1.5150000000000001,212.72,229.87,6396.0,"216,757,96,151",257.24,685.89,-16.125,-2.7600000000000002,218.97,231.58,6371.0,"200,784,74,200",240.65,683.43,-19.634999999999998,-7.8149999999999995,210.76,231.93,6922.0,"101,703,149,179",193.39,606.52,-14.265,-12.57,207.18,230.49,1997.0,"196,682,34,128",214.67,612.4,-16.77,-17.865000000000002,223.53,233.48,483.0,"184,584,18,50",194.56,560.55,-15.825000000000001,-27.78,227.66,234.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.75,10
11,20060727_0700,994,"3257,746,42,81",3285.97,719.7,0.0,0.0,222.55,235.14,920.0,"3274,738,25,58",3290.78,713.64,0.015,-1.4249999999999998,218.79,230.27,1545.0,"3259,734,40,55",3284.12,710.09,-3.0749999999999997,-6.584999999999999,218.56,228.12,2358.0,"3231,729,68,72",3275.64,702.6,-15.149999999999999,-8.28,219.45,230.13,3440.0,"3208,726,91,83",3266.21,689.84,-33.345,-5.6850000000000005,221.71,231.86,2942.0,"3189,718,110,71",3254.94,684.9,-27.645,-8.76,220.47,233.23,1599.0,"3217,693,82,44",3267.31,673.15,-20.549999999999997,-12.645,223.87,233.24,1289.0,"3220,688,79,42",3261.91,672.69,-33.075,-7.8149999999999995,229.0,235.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.56,3
12,20060727_0700,1067,"390,749,38,41",410.25,727.68,0.0,0.0,219.04,230.64,2360.0,"361,765,57,67",390.23,732.32,-12.93,2.0250000000000004,217.81,230.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.81,1
13,20060727_0700,3557,"907,1028,112,112",953.04,980.45,0.0,0.0,221.56,233.3,1306.0,"886,952,58,55",915.44,923.9,-18.825000000000003,1.98,225.1,232.91,1420.0,"853,938,73,58",893.17,908.09,-20.19,-13.26,221.58,232.17,972.0,"842,918,62,47",870.8,891.66,-15.72,-12.794999999999998,225.16,234.36,1130.0,"785,901,98,50",837.83,872.12,-23.205000000000002,-2.9699999999999998,230.96,237.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.56,1
14,20060727_0700,27936,"983,1216,215,215",1098.34,1103.69,0.0,0.0,213.83,227.83,20264.0,"998,1198,160,189",1078.0,1106.6,-6.39,3.165,220.16,232.69,13941.0,"980,1184,153,169",1049.09,1099.3,-8.16,-0.36,223.77,234.99,7716.0,"956,1138,133,117",1032.54,1075.65,-8.834999999999999,-4.35,225.97,235.9,4562.0,"940,1123,121,112",1012.05,1061.18,-10.185,-11.985,227.0,236.42,2839.0,"959,1124,85,93",1006.77,1071.73,-13.815000000000001,-0.27,227.06,234.77,2093.0,"944,1093,80,55",985.86,1068.03,-15.75,0.795,227.82,234.65,1561.0,"908,1086,75,44",955.09,1066.45,-17.595,0.885,227.55,235.66,1258.0,"896,1092,70,47",940.05,1067.2,-17.73,2.415,228.94,236.16,804.0,"916,1095,36,80",929.82,1060.88,-8.19,3.7199999999999998,230.42,236.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.83,6
